Sample_ID_ITS,Sample_ID_16S,Sample_ID,TRUE sample or CONTROL,Extraction_Batch,16S_Sequencing_Run,ITS_Sequencing_Run,Blinded_Brand,Blinded_Product,Added_Ingredients,Contains_Probiotic,Probiotic_Identification,Contains_Ginger,Nutrition Sugar (g/L),pH,Ethanol (%),Lactic (g/L),Acetic (g/L),Glucose (g/L),Fructose (g/L),GYC-N (log10CFU/mL),APDA (log10CFU/mL),MRS-N (log10CFU/mL)
Run2_K10_1_ITS,Run1_K10_1_16S,K10_1,TRUE SAMPLE,1,1,2.1,Brand_1,Product_1,"apple cider, spices",FALSE,none,FALSE,29.6,3.66,1.31,0.5,1.46,2.96,12.12,2.83,6.12,4.4
Run2_K11_1_ITS,Run1_K11_1_16S,K11_1,TRUE SAMPLE,1,1,2.1,Brand_1,Product_9,ginger juice,FALSE,none,TRUE,21.1,3.4,0.11,0.56,1.79,4.71,10.59,2.34,6.11,5.4
Run2_K11_2_ITS,Run2_K11_2_16S,K11_2,TRUE SAMPLE,2,2,2.2,Brand_1,Product_9,ginger juice,FALSE,none,TRUE,21.1,3.46,0.13,0.09,1.38,7.65,13.93,3.76,6.14,4.19
Run2_K12_1_ITS,Run1_K12_1_16S,K12_1,TRUE SAMPLE,1,1,2.1,Brand_1,Product_6,"cranberry juice, concord grape concentrate.",FALSE,none,FALSE,29.6,3.08,0.28,0.52,1.55,8.57,16.02,2.76,6.53,6.4
Run2_K28_ITS,Run2_K28_16S,K28,TRUE SAMPLE,2,2,2.2,Brand_1,Product_2,"blueberry juice, lavender",FALSE,none,FALSE,29.6,3.08,0.07,0.14,3.17,10.46,17.16,3.72,5.46,3.49
Run2_K29_ITS,Run2_K29_16S,K29,TRUE SAMPLE,2,2,2.2,Brand_1,Product_9,ginger juice,FALSE,none,TRUE,21.1,3.3,0.04,0.16,2.4,10.07,15.65,3.51,4.73,3.12
Run2_K43_ITS,Run2_K43_16S,K43,TRUE SAMPLE,2,2,2.2,Brand_1,Product_6,"cranberry juice, concord grape concentrate.",FALSE,none,FALSE,29.6,3.07,0.14,0.09,2.74,11.53,19.89,2.89,5.83,3.37
Run2_K44_ITS,Run2_K44_16S,K44,TRUE SAMPLE,2,2,2.2,Brand_1,Product_2,"blueberry juice, lavender",FALSE,none,FALSE,29.6,3.27,0.08,0.13,2.45,9.69,15.95,3.28,5.35,3.62
Run2_K13_1_ITS,Run1_K13_1_16S,K13_1,TRUE SAMPLE,1,1,2.1,Brand_2,Product_14,"lavender, rose",FALSE,none,FALSE,29,3.2,0.09,0.49,1.07,11.54,15.75,3.2,2.88,3.4
Run2_K13_2_ITS,Run2_K13_2_16S,K13_2,TRUE SAMPLE,2,2,2.2,Brand_2,Product_14,"lavender, rose",FALSE,none,FALSE,29,3.01,0.22,0.67,1.18,9.37,16.9,2.26,4.4,1
Run2_K14_1_ITS,Run1_K14_1_16S,K14_1,TRUE SAMPLE,1,1,2.1,Brand_2,Product_22,"currants, elderberry, hibiscus, blueberries, rosehips",FALSE,none,FALSE,31.4,2.93,0.16,1.95,1.74,10.67,17.45,1.6,2.51,2.32
Run2_K21_1_ITS,Run2_K21_1_16S,K21_1,TRUE SAMPLE,2,2,2.2,Brand_2,Product_4,"rosemary, peppermint, sage, dandelion root",FALSE,none,FALSE,29,3.16,0.23,0.3,1.27,9.2,16.47,2.49,4.92,4.6
Run2_K33_ITS,Run2_K33_16S,K33,TRUE SAMPLE,2,2,2.2,Brand_2,Product_4,"rosemary, peppermint, sage, dandelion root",FALSE,none,FALSE,29,3.11,0.23,1.53,1.48,9.62,16.25,3.65,3.86,3.2
